"ROI","Mean","Channel","Frame","Time","Sensor_Name","ROI_Name"
4,37.247,2,9,24,"RFP","Airpore Medium 1"
5,62.985,2,9,24,"RFP","Airpore Medium 2"
6,53.971,2,9,24,"RFP","background"
1,7.207,1,10,27,"GFP","Airpore Old 1"
2,8.302,1,10,27,"GFP","Airpore Old 2"
3,9.393,1,10,27,"GFP","Airpore Old 3"
4,5.456,1,10,27,"GFP","Airpore Medium 1"
5,9.509,1,10,27,"GFP","Airpore Medium 2"
6,8.724,1,10,27,"GFP","background"
1,67.209,2,10,27,"RFP","Airpore Old 1"
2,61.421,2,10,27,"RFP","Airpore Old 2"
3,46.266,2,10,27,"RFP","Airpore Old 3"
4,37.113,2,10,27,"RFP","Airpore Medium 1"
5,63.145,2,10,27,"RFP","Airpore Medium 2"
6,53.959,2,10,27,"RFP","background"
1,7.294,1,11,30,"GFP","Airpore Old 1"
2,8.333,1,11,30,"GFP","Airpore Old 2"
3,9.438,1,11,30,"GFP","Airpore Old 3"
4,5.71,1,11,30,"GFP","Airpore Medium 1"
5,9.597,1,11,30,"GFP","Airpore Medium 2"
6,8.656,1,11,30,"GFP","background"
1,66.283,2,11,30,"RFP","Airpore Old 1"
2,61.1,2,11,30,"RFP","Airpore Old 2"
3,46.957,2,11,30,"RFP","Airpore Old 3"
4,37.253,2,11,30,"RFP","Airpore Medium 1"
5,63.271,2,11,30,"RFP","Airpore Medium 2"
6,54.061,2,11,30,"RFP","background"
1,7.223,1,12,33,"GFP","Airpore Old 1"
2,8.478,1,12,33,"GFP","Airpore Old 2"
3,9.278,1,12,33,"GFP","Airpore Old 3"
4,5.515,1,12,33,"GFP","Airpore Medium 1"
5,9.068,1,12,33,"GFP","Airpore Medium 2"
6,8.571,1,12,33,"GFP","background"
1,65.472,2,12,33,"RFP","Airpore Old 1"
2,61.055,2,12,33,"RFP","Airpore Old 2"
3,46.794,2,12,33,"RFP","Airpore Old 3"
4,37.376,2,12,33,"RFP","Airpore Medium 1"
5,63.398,2,12,33,"RFP","Airpore Medium 2"
6,53.548,2,12,33,"RFP","background"
1,7.259,1,13,36,"GFP","Airpore Old 1"
2,7.952,1,13,36,"GFP","Airpore Old 2"
3,9.405,1,13,36,"GFP","Airpore Old 3"
4,5.486,1,13,36,"GFP","Airpore Medium 1"
5,9.365,1,13,36,"GFP","Airpore Medium 2"
6,8.608,1,13,36,"GFP","background"
1,65.851,2,13,36,"RFP","Airpore Old 1"
2,61.099,2,13,36,"RFP","Airpore Old 2"
3,46.121,2,13,36,"RFP","Airpore Old 3"
4,36.487,2,13,36,"RFP","Airpore Medium 1"
5,63.925,2,13,36,"RFP","Airpore Medium 2"
6,53.431,2,13,36,"RFP","background"
1,7.019,1,14,39,"GFP","Airpore Old 1"
2,7.963,1,14,39,"GFP","Airpore Old 2"
3,9.406,1,14,39,"GFP","Airpore Old 3"
4,5.59,1,14,39,"GFP","Airpore Medium 1"
5,9.375,1,14,39,"GFP","Airpore Medium 2"
6,8.397,1,14,39,"GFP","background"
1,65.877,2,14,39,"RFP","Airpore Old 1"
2,61.132,2,14,39,"RFP","Airpore Old 2"
3,46.332,2,14,39,"RFP","Airpore Old 3"
4,36.472,2,14,39,"RFP","Airpore Medium 1"
5,63.262,2,14,39,"RFP","Airpore Medium 2"
6,54.003,2,14,39,"RFP","background"
1,7.223,1,15,42,"GFP","Airpore Old 1"
2,7.978,1,15,42,"GFP","Airpore Old 2"
3,9.618,1,15,42,"GFP","Airpore Old 3"
4,5.634,1,15,42,"GFP","Airpore Medium 1"
5,9.348,1,15,42,"GFP","Airpore Medium 2"
6,8.325,1,15,42,"GFP","background"
1,66.038,2,15,42,"RFP","Airpore Old 1"
2,60.973,2,15,42,"RFP","Airpore Old 2"
3,46.379,2,15,42,"RFP","Airpore Old 3"
4,35.803,2,15,42,"RFP","Airpore Medium 1"
5,62.707,2,15,42,"RFP","Airpore Medium 2"
6,53.481,2,15,42,"RFP","background"
1,6.805,1,16,45,"GFP","Airpore Old 1"
2,7.886,1,16,45,"GFP","Airpore Old 2"
3,9.544,1,16,45,"GFP","Airpore Old 3"
4,5.804,1,16,45,"GFP","Airpore Medium 1"
5,9.265,1,16,45,"GFP","Airpore Medium 2"
6,8.254,1,16,45,"GFP","background"
1,65.186,2,16,45,"RFP","Airpore Old 1"
2,60.739,2,16,45,"RFP","Airpore Old 2"
3,46.195,2,16,45,"RFP","Airpore Old 3"
4,36.653,2,16,45,"RFP","Airpore Medium 1"
5,63.044,2,16,45,"RFP","Airpore Medium 2"
6,53.502,2,16,45,"RFP","background"
1,6.958,1,17,48,"GFP","Airpore Old 1"
2,7.983,1,17,48,"GFP","Airpore Old 2"
3,9.274,1,17,48,"GFP","Airpore Old 3"
4,5.575,1,17,48,"GFP","Airpore Medium 1"
5,9.317,1,17,48,"GFP","Airpore Medium 2"
6,8.283,1,17,48,"GFP","background"
1,65.811,2,17,48,"RFP","Airpore Old 1"
2,60.728,2,17,48,"RFP","Airpore Old 2"
3,46.276,2,17,48,"RFP","Airpore Old 3"
4,35.587,2,17,48,"RFP","Airpore Medium 1"
5,62.388,2,17,48,"RFP","Airpore Medium 2"
6,52.904,2,17,48,"RFP","background"
1,6.797,1,18,51,"GFP","Airpore Old 1"
2,7.907,1,18,51,"GFP","Airpore Old 2"
3,9.587,1,18,51,"GFP","Airpore Old 3"
4,5.746,1,18,51,"GFP","Airpore Medium 1"
5,9.091,1,18,51,"GFP","Airpore Medium 2"
6,8.319,1,18,51,"GFP","background"
1,65.575,2,18,51,"RFP","Airpore Old 1"
2,60.959,2,18,51,"RFP","Airpore Old 2"
3,45.754,2,18,51,"RFP","Airpore Old 3"
4,36.459,2,18,51,"RFP","Airpore Medium 1"
5,62.138,2,18,51,"RFP","Airpore Medium 2"
6,52.815,2,18,51,"RFP","background"
1,6.668,1,19,54,"GFP","Airpore Old 1"
2,7.865,1,19,54,"GFP","Airpore Old 2"
3,9.534,1,19,54,"GFP","Airpore Old 3"
4,5.661,1,19,54,"GFP","Airpore Medium 1"
5,9.202,1,19,54,"GFP","Airpore Medium 2"
6,8.369,1,19,54,"GFP","background"
1,65.078,2,19,54,"RFP","Airpore Old 1"
2,59.595,2,19,54,"RFP","Airpore Old 2"
3,46.829,2,19,54,"RFP","Airpore Old 3"
4,36.396,2,19,54,"RFP","Airpore Medium 1"
5,62.629,2,19,54,"RFP","Airpore Medium 2"
6,52.922,2,19,54,"RFP","background"
1,6.849,1,20,57,"GFP","Airpore Old 1"
2,7.823,1,20,57,"GFP","Airpore Old 2"
3,9.625,1,20,57,"GFP","Airpore Old 3"
4,5.607,1,20,57,"GFP","Airpore Medium 1"
5,8.939,1,20,57,"GFP","Airpore Medium 2"
6,8.243,1,20,57,"GFP","background"
1,65.248,2,20,57,"RFP","Airpore Old 1"
2,61.193,2,20,57,"RFP","Airpore Old 2"
3,46.421,2,20,57,"RFP","Airpore Old 3"
4,35.8,2,20,57,"RFP","Airpore Medium 1"
5,62.439,2,20,57,"RFP","Airpore Medium 2"
6,52.808,2,20,57,"RFP","background"
1,6.723,1,21,60,"GFP","Airpore Old 1"
2,7.828,1,21,60,"GFP","Airpore Old 2"
3,9.463,1,21,60,"GFP","Airpore Old 3"
4,5.424,1,21,60,"GFP","Airpore Medium 1"
5,8.952,1,21,60,"GFP","Airpore Medium 2"
6,8.134,1,21,60,"GFP","background"
1,65.907,2,21,60,"RFP","Airpore Old 1"
2,60.042,2,21,60,"RFP","Airpore Old 2"
3,47.204,2,21,60,"RFP","Airpore Old 3"
4,36.032,2,21,60,"RFP","Airpore Medium 1"
5,63.023,2,21,60,"RFP","Airpore Medium 2"
6,53.463,2,21,60,"RFP","background"
1,6.712,1,22,63,"GFP","Airpore Old 1"
2,7.699,1,22,63,"GFP","Airpore Old 2"
3,9.517,1,22,63,"GFP","Airpore Old 3"
4,5.577,1,22,63,"GFP","Airpore Medium 1"
5,9.041,1,22,63,"GFP","Airpore Medium 2"
6,8.259,1,22,63,"GFP","background"
1,65.381,2,22,63,"RFP","Airpore Old 1"
2,60.606,2,22,63,"RFP","Airpore Old 2"
3,46.547,2,22,63,"RFP","Airpore Old 3"
4,36.35,2,22,63,"RFP","Airpore Medium 1"
5,63.062,2,22,63,"RFP","Airpore Medium 2"
6,53.19,2,22,63,"RFP","background"
1,6.922,1,23,66,"GFP","Airpore Old 1"
2,7.345,1,23,66,"GFP","Airpore Old 2"
3,9.348,1,23,66,"GFP","Airpore Old 3"
4,5.541,1,23,66,"GFP","Airpore Medium 1"
5,9.213,1,23,66,"GFP","Airpore Medium 2"
6,8.213,1,23,66,"GFP","background"
